"global_step","15 - _step","15 - _step__MIN","15 - _step__MAX","15 - losses/entropy","15 - losses/entropy__MIN","15 - losses/entropy__MAX","19 - _step","19 - _step__MIN","19 - _step__MAX","19 - losses/entropy","19 - losses/entropy__MIN","19 - losses/entropy__MAX","18 - _step","18 - _step__MIN","18 - _step__MAX","18 - losses/entropy","18 - losses/entropy__MIN","18 - losses/entropy__MAX","17 - _step","17 - _step__MIN","17 - _step__MAX","17 - losses/entropy","17 - losses/entropy__MIN","17 - losses/entropy__MAX","11 - _step","11 - _step__MIN","11 - _step__MAX","11 - losses/entropy","11 - losses/entropy__MIN","11 - losses/entropy__MAX","16 - _step","16 - _step__MIN","16 - _step__MAX","16 - losses/entropy","16 - losses/entropy__MIN","16 - losses/entropy__MAX","10 - _step","10 - _step__MIN","10 - _step__MAX","10 - losses/entropy","10 - losses/entropy__MIN","10 - losses/entropy__MAX","12 - _step","12 - _step__MIN","12 - _step__MAX","12 - losses/entropy","12 - losses/entropy__MIN","12 - losses/entropy__MAX","8 - _step","8 - _step__MIN","8 - _step__MAX","8 - losses/entropy","8 - losses/entropy__MIN","8 - losses/entropy__MAX","9 - _step","9 - _step__MIN","9 - _step__MAX","9 - losses/entropy","9 - losses/entropy__MIN","9 - losses/entropy__MAX"
"3200","1","1","1","7.451390743255615","7.451390743255615","7.451390743255615","1","1","1","7.181704998016357","7.181704998016357","7.181704998016357","1","1","1","7.024844646453857","7.024844646453857","7.024844646453857","1","1","1","6.770709037780762","6.770709037780762","6.770709037780762","1","1","1","7.408819198608398","7.408819198608398","7.408819198608398","1","1","1","6.948985576629639","6.948985576629639","6.948985576629639","1","1","1","7.205516338348389","7.205516338348389","7.205516338348389","1","1","1","7.24222993850708","7.24222993850708","7.24222993850708","1","1","1","6.914966106414795","6.914966106414795","6.914966106414795","1","1","1","7.179383277893066","7.179383277893066","7.179383277893066"
"6400","2","2","2","7.157702445983887","7.157702445983887","7.157702445983887","2","2","2","7.255057334899902","7.255057334899902","7.255057334899902","2","2","2","7.121157646179199","7.121157646179199","7.121157646179199","2","2","2","6.563439846038818","6.563439846038818","6.563439846038818","2","2","2","6.956480503082275","6.956480503082275","6.956480503082275","2","2","2","7.017613410949707","7.017613410949707","7.017613410949707","2","2","2","7.162337303161621","7.162337303161621","7.162337303161621","2","2","2","7.643240928649902","7.643240928649902","7.643240928649902","2","2","2","6.601462364196777","6.601462364196777","6.601462364196777","2","2","2","7.025979995727539","7.025979995727539","7.025979995727539"
"9600","3","3","3","7.378151893615723","7.378151893615723","7.378151893615723","3","3","3","7.088573932647705","7.088573932647705","7.088573932647705","3","3","3","7.112863063812256","7.112863063812256","7.112863063812256","3","3","3","6.414582252502441","6.414582252502441","6.414582252502441","3","3","3","7.413794994354248","7.413794994354248","7.413794994354248","3","3","3","7.256594181060791","7.256594181060791","7.256594181060791","3","3","3","7.232378005981445","7.232378005981445","7.232378005981445","3","3","3","7.149728775024414","7.149728775024414","7.149728775024414","3","3","3","6.588464736938477","6.588464736938477","6.588464736938477","3","3","3","7.247288703918457","7.247288703918457","7.247288703918457"
"12800","4","4","4","7.623187065124512","7.623187065124512","7.623187065124512","4","4","4","6.94793701171875","6.94793701171875","6.94793701171875","4","4","4","7.000349998474121","7.000349998474121","7.000349998474121","4","4","4","6.347036838531494","6.347036838531494","6.347036838531494","4","4","4","7.60276460647583","7.60276460647583","7.60276460647583","4","4","4","7.101229667663574","7.101229667663574","7.101229667663574","4","4","4","7.072839736938477","7.072839736938477","7.072839736938477","4","4","4","7.433417320251465","7.433417320251465","7.433417320251465","4","4","4","6.707631587982178","6.707631587982178","6.707631587982178","4","4","4","7.111897945404053","7.111897945404053","7.111897945404053"
"16000","5","5","5","8.052080154418945","8.052080154418945","8.052080154418945","5","5","5","7.0121355056762695","7.0121355056762695","7.0121355056762695","5","5","5","7.005070209503174","7.005070209503174","7.005070209503174","5","5","5","6.360068321228027","6.360068321228027","6.360068321228027","5","5","5","7.037574768066406","7.037574768066406","7.037574768066406","5","5","5","7.176653861999512","7.176653861999512","7.176653861999512","5","5","5","7.090024471282959","7.090024471282959","7.090024471282959","5","5","5","7.008950710296631","7.008950710296631","7.008950710296631","5","5","5","6.904757976531982","6.904757976531982","6.904757976531982","5","5","5","7.0944743156433105","7.0944743156433105","7.0944743156433105"
"19200","6","6","6","7.683901309967041","7.683901309967041","7.683901309967041","6","6","6","7.070483684539795","7.070483684539795","7.070483684539795","6","6","6","6.991856575012207","6.991856575012207","6.991856575012207","6","6","6","6.589515686035156","6.589515686035156","6.589515686035156","6","6","6","7.039997577667236","7.039997577667236","7.039997577667236","6","6","6","7.296357154846191","7.296357154846191","7.296357154846191","6","6","6","7.36592435836792","7.36592435836792","7.36592435836792","6","6","6","7.354209899902344","7.354209899902344","7.354209899902344","6","6","6","6.46144437789917","6.46144437789917","6.46144437789917","6","6","6","7.250497341156006","7.250497341156006","7.250497341156006"
"22400","7","7","7","7.719552516937256","7.719552516937256","7.719552516937256","7","7","7","7.013478755950928","7.013478755950928","7.013478755950928","7","7","7","7.135804176330566","7.135804176330566","7.135804176330566","7","7","7","6.352195739746094","6.352195739746094","6.352195739746094","7","7","7","6.648324966430664","6.648324966430664","6.648324966430664","7","7","7","7.290567398071289","7.290567398071289","7.290567398071289","7","7","7","7.172038555145264","7.172038555145264","7.172038555145264","7","7","7","6.903462886810303","6.903462886810303","6.903462886810303","7","7","7","6.683330059051514","6.683330059051514","6.683330059051514","7","7","7","7.135878562927246","7.135878562927246","7.135878562927246"
"25600","8","8","8","7.903942108154297","7.903942108154297","7.903942108154297","8","8","8","6.920919418334961","6.920919418334961","6.920919418334961","8","8","8","7.129847049713135","7.129847049713135","7.129847049713135","8","8","8","6.337464332580566","6.337464332580566","6.337464332580566","8","8","8","6.592930793762207","6.592930793762207","6.592930793762207","8","8","8","7.227182388305664","7.227182388305664","7.227182388305664","8","8","8","7.11073637008667","7.11073637008667","7.11073637008667","8","8","8","7.405021667480469","7.405021667480469","7.405021667480469","8","8","8","6.0892558097839355","6.0892558097839355","6.0892558097839355","8","8","8","7.208005905151367","7.208005905151367","7.208005905151367"
"28800","9","9","9","7.87529993057251","7.87529993057251","7.87529993057251","9","9","9","6.683290481567383","6.683290481567383","6.683290481567383","9","9","9","7.010035037994385","7.010035037994385","7.010035037994385","9","9","9","6.486260890960693","6.486260890960693","6.486260890960693","9","9","9","6.643417835235596","6.643417835235596","6.643417835235596","9","9","9","7.503224849700928","7.503224849700928","7.503224849700928","9","9","9","6.982012748718262","6.982012748718262","6.982012748718262","9","9","9","7.083047866821289","7.083047866821289","7.083047866821289","9","9","9","6.257360935211182","6.257360935211182","6.257360935211182","9","9","9","7.129710674285889","7.129710674285889","7.129710674285889"
"32000","10","10","10","7.656835556030273","7.656835556030273","7.656835556030273","10","10","10","6.369023323059082","6.369023323059082","6.369023323059082","10","10","10","7.248256683349609","7.248256683349609","7.248256683349609","10","10","10","6.493907928466797","6.493907928466797","6.493907928466797","10","10","10","6.489956378936768","6.489956378936768","6.489956378936768","10","10","10","7.231101989746094","7.231101989746094","7.231101989746094","10","10","10","7.119729995727539","7.119729995727539","7.119729995727539","10","10","10","7.120536804199219","7.120536804199219","7.120536804199219","10","10","10","5.912603855133057","5.912603855133057","5.912603855133057","10","10","10","7.026586532592773","7.026586532592773","7.026586532592773"
