"global_step","15 - _step","15 - _step__MIN","15 - _step__MAX","15 - charts/episodic_return","15 - charts/episodic_return__MIN","15 - charts/episodic_return__MAX","19 - _step","19 - _step__MIN","19 - _step__MAX","19 - charts/episodic_return","19 - charts/episodic_return__MIN","19 - charts/episodic_return__MAX","18 - _step","18 - _step__MIN","18 - _step__MAX","18 - charts/episodic_return","18 - charts/episodic_return__MIN","18 - charts/episodic_return__MAX","17 - _step","17 - _step__MIN","17 - _step__MAX","17 - charts/episodic_return","17 - charts/episodic_return__MIN","17 - charts/episodic_return__MAX","11 - _step","11 - _step__MIN","11 - _step__MAX","11 - charts/episodic_return","11 - charts/episodic_return__MIN","11 - charts/episodic_return__MAX","16 - _step","16 - _step__MIN","16 - _step__MAX","16 - charts/episodic_return","16 - charts/episodic_return__MIN","16 - charts/episodic_return__MAX","10 - _step","10 - _step__MIN","10 - _step__MAX","10 - charts/episodic_return","10 - charts/episodic_return__MIN","10 - charts/episodic_return__MAX","12 - _step","12 - _step__MIN","12 - _step__MAX","12 - charts/episodic_return","12 - charts/episodic_return__MIN","12 - charts/episodic_return__MAX","8 - _step","8 - _step__MIN","8 - _step__MAX","8 - charts/episodic_return","8 - charts/episodic_return__MIN","8 - charts/episodic_return__MAX","9 - _step","9 - _step__MIN","9 - _step__MAX","9 - charts/episodic_return","9 - charts/episodic_return__MIN","9 - charts/episodic_return__MAX"
"3200","1","1","1","-17.409282684326172","-17.409282684326172","-17.409282684326172","1","1","1","-21.230260848999023","-21.230260848999023","-21.230260848999023","1","1","1","-17.622243881225586","-17.622243881225586","-17.622243881225586","1","1","1","-22.890865325927734","-22.890865325927734","-22.890865325927734","1","1","1","-16.793224334716797","-16.793224334716797","-16.793224334716797","1","1","1","-16.758365631103516","-16.758365631103516","-16.758365631103516","1","1","1","-16.66862678527832","-16.66862678527832","-16.66862678527832","1","1","1","-20.684743881225586","-20.684743881225586","-20.684743881225586","1","1","1","-20.44451332092285","-20.44451332092285","-20.44451332092285","1","1","1","-49.98004913330078","-49.98004913330078","-49.98004913330078"
"6400","2","2","2","-15.90117073059082","-15.90117073059082","-15.90117073059082","2","2","2","-57.6456413269043","-57.6456413269043","-57.6456413269043","2","2","2","-15.218551635742188","-15.218551635742188","-15.218551635742188","2","2","2","-21.14195442199707","-21.14195442199707","-21.14195442199707","2","2","2","-16.077777862548828","-16.077777862548828","-16.077777862548828","2","2","2","-18.97807502746582","-18.97807502746582","-18.97807502746582","2","2","2","-18.218746185302734","-18.218746185302734","-18.218746185302734","2","2","2","-20.686670303344727","-20.686670303344727","-20.686670303344727","2","2","2","-19.535972595214844","-19.535972595214844","-19.535972595214844","2","2","2","-16.259496688842773","-16.259496688842773","-16.259496688842773"
"9600","3","3","3","-17.097915649414062","-17.097915649414062","-17.097915649414062","3","3","3","-20.813556671142578","-20.813556671142578","-20.813556671142578","3","3","3","-15.839920997619629","-15.839920997619629","-15.839920997619629","3","3","3","-25.47144889831543","-25.47144889831543","-25.47144889831543","3","3","3","-16.57342529296875","-16.57342529296875","-16.57342529296875","3","3","3","-18.764385223388672","-18.764385223388672","-18.764385223388672","3","3","3","-17.362438201904297","-17.362438201904297","-17.362438201904297","3","3","3","-18.86397933959961","-18.86397933959961","-18.86397933959961","3","3","3","-21.3148193359375","-21.3148193359375","-21.3148193359375","3","3","3","-17.101863861083984","-17.101863861083984","-17.101863861083984"
"12800","4","4","4","-20.585426330566406","-20.585426330566406","-20.585426330566406","4","4","4","-23.167987823486328","-23.167987823486328","-23.167987823486328","4","4","4","-15.787110328674316","-15.787110328674316","-15.787110328674316","4","4","4","-21.30412483215332","-21.30412483215332","-21.30412483215332","4","4","4","-15.53260612487793","-15.53260612487793","-15.53260612487793","4","4","4","-17.664384841918945","-17.664384841918945","-17.664384841918945","4","4","4","-15.948429107666016","-15.948429107666016","-15.948429107666016","4","4","4","-22.67850685119629","-22.67850685119629","-22.67850685119629","4","4","4","-19.94353485107422","-19.94353485107422","-19.94353485107422","4","4","4","-16.71333885192871","-16.71333885192871","-16.71333885192871"
"16000","5","5","5","-16.25728416442871","-16.25728416442871","-16.25728416442871","5","5","5","-26.13520622253418","-26.13520622253418","-26.13520622253418","5","5","5","-15.101419448852539","-15.101419448852539","-15.101419448852539","5","5","5","-22.79607391357422","-22.79607391357422","-22.79607391357422","5","5","5","-16.82573127746582","-16.82573127746582","-16.82573127746582","5","5","5","-18.594030380249023","-18.594030380249023","-18.594030380249023","5","5","5","-20.3255558013916","-20.3255558013916","-20.3255558013916","5","5","5","-25.86353874206543","-25.86353874206543","-25.86353874206543","5","5","5","-19.06635284423828","-19.06635284423828","-19.06635284423828","5","5","5","-16.29445457458496","-16.29445457458496","-16.29445457458496"
"19200","6","6","6","-28.058828353881836","-28.058828353881836","-28.058828353881836","6","6","6","-20.827682495117188","-20.827682495117188","-20.827682495117188","6","6","6","-21.661149978637695","-21.661149978637695","-21.661149978637695","6","6","6","-20.842164993286133","-20.842164993286133","-20.842164993286133","6","6","6","-16.211915969848633","-16.211915969848633","-16.211915969848633","6","6","6","-18.59210968017578","-18.59210968017578","-18.59210968017578","6","6","6","-19.064973831176758","-19.064973831176758","-19.064973831176758","6","6","6","-18.501110076904297","-18.501110076904297","-18.501110076904297","6","6","6","-20.125091552734375","-20.125091552734375","-20.125091552734375","6","6","6","-18.464157104492188","-18.464157104492188","-18.464157104492188"
"22400","7","7","7","-16.497020721435547","-16.497020721435547","-16.497020721435547","7","7","7","-25.03704261779785","-25.03704261779785","-25.03704261779785","7","7","7","-16.257659912109375","-16.257659912109375","-16.257659912109375","7","7","7","-22.4989013671875","-22.4989013671875","-22.4989013671875","7","7","7","-19.859066009521484","-19.859066009521484","-19.859066009521484","7","7","7","-17.49835205078125","-17.49835205078125","-17.49835205078125","7","7","7","-15.820340156555176","-15.820340156555176","-15.820340156555176","7","7","7","-18.970401763916016","-18.970401763916016","-18.970401763916016","7","7","7","-19.33840560913086","-19.33840560913086","-19.33840560913086","7","7","7","-18.976573944091797","-18.976573944091797","-18.976573944091797"
"25600","8","8","8","-18.758577346801758","-18.758577346801758","-18.758577346801758","8","8","8","-21.19025230407715","-21.19025230407715","-21.19025230407715","8","8","8","-18.320226669311523","-18.320226669311523","-18.320226669311523","8","8","8","-21.642621994018555","-21.642621994018555","-21.642621994018555","8","8","8","-17.186649322509766","-17.186649322509766","-17.186649322509766","8","8","8","-16.88625717163086","-16.88625717163086","-16.88625717163086","8","8","8","-17.91443634033203","-17.91443634033203","-17.91443634033203","8","8","8","-22.365150451660156","-22.365150451660156","-22.365150451660156","8","8","8","-19.782344818115234","-19.782344818115234","-19.782344818115234","8","8","8","-15.775583267211914","-15.775583267211914","-15.775583267211914"
"28800","9","9","9","-16.64056396484375","-16.64056396484375","-16.64056396484375","9","9","9","-24.705402374267578","-24.705402374267578","-24.705402374267578","9","9","9","-15.747048377990723","-15.747048377990723","-15.747048377990723","9","9","9","-20.313873291015625","-20.313873291015625","-20.313873291015625","9","9","9","-16.945493698120117","-16.945493698120117","-16.945493698120117","9","9","9","-16.779226303100586","-16.779226303100586","-16.779226303100586","9","9","9","-47.359466552734375","-47.359466552734375","-47.359466552734375","9","9","9","-20.999704360961914","-20.999704360961914","-20.999704360961914","9","9","9","-25.0654239654541","-25.0654239654541","-25.0654239654541","9","9","9","-15.661325454711914","-15.661325454711914","-15.661325454711914"
"32000","10","10","10","-17.62527084350586","-17.62527084350586","-17.62527084350586","10","10","10","-21.53550910949707","-21.53550910949707","-21.53550910949707","10","10","10","-17.532024383544922","-17.532024383544922","-17.532024383544922","10","10","10","-23.595134735107422","-23.595134735107422","-23.595134735107422","10","10","10","-18.096786499023438","-18.096786499023438","-18.096786499023438","10","10","10","-18.965972900390625","-18.965972900390625","-18.965972900390625","10","10","10","-15.310406684875488","-15.310406684875488","-15.310406684875488","10","10","10","-20.307086944580078","-20.307086944580078","-20.307086944580078","10","10","10","-24.2806396484375","-24.2806396484375","-24.2806396484375","10","10","10","-17.378602981567383","-17.378602981567383","-17.378602981567383"
"35200","11","11","11","-19.985002517700195","-19.985002517700195","-19.985002517700195","11","11","11","-21.485868453979492","-21.485868453979492","-21.485868453979492","11","11","11","-16.566242218017578","-16.566242218017578","-16.566242218017578","11","11","11","-20.81146812438965","-20.81146812438965","-20.81146812438965","11","11","11","-15.190938949584961","-15.190938949584961","-15.190938949584961","11","11","11","-19.365283966064453","-19.365283966064453","-19.365283966064453","11","11","11","-15.470325469970703","-15.470325469970703","-15.470325469970703","11","11","11","-24.552003860473633","-24.552003860473633","-24.552003860473633","11","11","11","-19.765316009521484","-19.765316009521484","-19.765316009521484","11","11","11","-16.913257598876953","-16.913257598876953","-16.913257598876953"
"38400","12","12","12","-34.51132583618164","-34.51132583618164","-34.51132583618164","12","12","12","-21.75553321838379","-21.75553321838379","-21.75553321838379","12","12","12","-17.335548400878906","-17.335548400878906","-17.335548400878906","12","12","12","-26.8011474609375","-26.8011474609375","-26.8011474609375","12","12","12","-17.393993377685547","-17.393993377685547","-17.393993377685547","12","12","12","-20.373933792114258","-20.373933792114258","-20.373933792114258","12","12","12","-15.58381175994873","-15.58381175994873","-15.58381175994873","12","12","12","-21.71669578552246","-21.71669578552246","-21.71669578552246","12","12","12","-24.52248191833496","-24.52248191833496","-24.52248191833496","12","12","12","-16.14629364013672","-16.14629364013672","-16.14629364013672"
"41600","13","13","13","-23.362319946289062","-23.362319946289062","-23.362319946289062","13","13","13","-21.35455322265625","-21.35455322265625","-21.35455322265625","13","13","13","-15.379901885986328","-15.379901885986328","-15.379901885986328","13","13","13","-21.818262100219727","-21.818262100219727","-21.818262100219727","13","13","13","-19.432504653930664","-19.432504653930664","-19.432504653930664","13","13","13","-16.505252838134766","-16.505252838134766","-16.505252838134766","13","13","13","-16.36060333251953","-16.36060333251953","-16.36060333251953","13","13","13","-19.261661529541016","-19.261661529541016","-19.261661529541016","13","13","13","-19.659080505371094","-19.659080505371094","-19.659080505371094","13","13","13","-16.308815002441406","-16.308815002441406","-16.308815002441406"
"44800","14","14","14","-17.401212692260742","-17.401212692260742","-17.401212692260742","14","14","14","-23.347686767578125","-23.347686767578125","-23.347686767578125","14","14","14","-16.808185577392578","-16.808185577392578","-16.808185577392578","14","14","14","-20.701534271240234","-20.701534271240234","-20.701534271240234","14","14","14","-15.884134292602539","-15.884134292602539","-15.884134292602539","14","14","14","-17.381383895874023","-17.381383895874023","-17.381383895874023","14","14","14","-14.839058876037598","-14.839058876037598","-14.839058876037598","14","14","14","-20.851730346679688","-20.851730346679688","-20.851730346679688","14","14","14","-20.931461334228516","-20.931461334228516","-20.931461334228516","14","14","14","-18.67157554626465","-18.67157554626465","-18.67157554626465"
"48000","15","15","15","-16.25371742248535","-16.25371742248535","-16.25371742248535","15","15","15","-21.119857788085938","-21.119857788085938","-21.119857788085938","15","15","15","-15.647868156433105","-15.647868156433105","-15.647868156433105","15","15","15","-25.215864181518555","-25.215864181518555","-25.215864181518555","15","15","15","-16.65561866760254","-16.65561866760254","-16.65561866760254","15","15","15","-50.41427993774414","-50.41427993774414","-50.41427993774414","15","15","15","-15.811744689941406","-15.811744689941406","-15.811744689941406","15","15","15","-19.39353370666504","-19.39353370666504","-19.39353370666504","15","15","15","-20.146873474121094","-20.146873474121094","-20.146873474121094","15","15","15","-16.733243942260742","-16.733243942260742","-16.733243942260742"
"51200","16","16","16","-18.62755584716797","-18.62755584716797","-18.62755584716797","16","16","16","-20.80040740966797","-20.80040740966797","-20.80040740966797","16","16","16","-16.680126190185547","-16.680126190185547","-16.680126190185547","16","16","16","-24.69828224182129","-24.69828224182129","-24.69828224182129","16","16","16","-15.582159042358398","-15.582159042358398","-15.582159042358398","16","16","16","-18.60592269897461","-18.60592269897461","-18.60592269897461","16","16","16","-16.125856399536133","-16.125856399536133","-16.125856399536133","16","16","16","-28.39623260498047","-28.39623260498047","-28.39623260498047","16","16","16","-19.73614501953125","-19.73614501953125","-19.73614501953125","16","16","16","-16.477882385253906","-16.477882385253906","-16.477882385253906"
"54400","17","17","17","-17.148141860961914","-17.148141860961914","-17.148141860961914","17","17","17","-20.729787826538086","-20.729787826538086","-20.729787826538086","17","17","17","-20.39406394958496","-20.39406394958496","-20.39406394958496","17","17","17","-24.75482940673828","-24.75482940673828","-24.75482940673828","17","17","17","-15.909017562866211","-15.909017562866211","-15.909017562866211","17","17","17","-17.70513916015625","-17.70513916015625","-17.70513916015625","17","17","17","-16.383384704589844","-16.383384704589844","-16.383384704589844","17","17","17","-19.840866088867188","-19.840866088867188","-19.840866088867188","17","17","17","-28.77450180053711","-28.77450180053711","-28.77450180053711","17","17","17","-15.826263427734375","-15.826263427734375","-15.826263427734375"
"57600","18","18","18","-18.617393493652344","-18.617393493652344","-18.617393493652344","18","18","18","-21.021961212158203","-21.021961212158203","-21.021961212158203","18","18","18","-15.642152786254883","-15.642152786254883","-15.642152786254883","18","18","18","-27.06909942626953","-27.06909942626953","-27.06909942626953","18","18","18","-52.386993408203125","-52.386993408203125","-52.386993408203125","18","18","18","-18.205495834350586","-18.205495834350586","-18.205495834350586","18","18","18","-17.036853790283203","-17.036853790283203","-17.036853790283203","18","18","18","-20.452285766601562","-20.452285766601562","-20.452285766601562","18","18","18","-20.7506103515625","-20.7506103515625","-20.7506103515625","18","18","18","-17.145265579223633","-17.145265579223633","-17.145265579223633"
"60800","19","19","19","-16.983318328857422","-16.983318328857422","-16.983318328857422","19","19","19","-23.86323356628418","-23.86323356628418","-23.86323356628418","19","19","19","-15.451160430908203","-15.451160430908203","-15.451160430908203","19","19","19","-20.87774658203125","-20.87774658203125","-20.87774658203125","19","19","19","-17.25901222229004","-17.25901222229004","-17.25901222229004","19","19","19","-20.548540115356445","-20.548540115356445","-20.548540115356445","19","19","19","-16.641746520996094","-16.641746520996094","-16.641746520996094","19","19","19","-19.766969680786133","-19.766969680786133","-19.766969680786133","19","19","19","-24.491907119750977","-24.491907119750977","-24.491907119750977","19","19","19","-16.612510681152344","-16.612510681152344","-16.612510681152344"
"64000","20","20","20","-15.514500617980957","-15.514500617980957","-15.514500617980957","20","20","20","-21.81269645690918","-21.81269645690918","-21.81269645690918","20","20","20","-16.94683074951172","-16.94683074951172","-16.94683074951172","20","20","20","-20.287174224853516","-20.287174224853516","-20.287174224853516","20","20","20","-14.913383483886719","-14.913383483886719","-14.913383483886719","20","20","20","-20.198328018188477","-20.198328018188477","-20.198328018188477","20","20","20","-15.983390808105469","-15.983390808105469","-15.983390808105469","20","20","20","-23.01034927368164","-23.01034927368164","-23.01034927368164","20","20","20","-20.957399368286133","-20.957399368286133","-20.957399368286133","20","20","20","-15.912419319152832","-15.912419319152832","-15.912419319152832"
"67200","21","21","21","-18.119813919067383","-18.119813919067383","-18.119813919067383","21","21","21","-21.160602569580078","-21.160602569580078","-21.160602569580078","21","21","21","-16.857994079589844","-16.857994079589844","-16.857994079589844","21","21","21","-20.263103485107422","-20.263103485107422","-20.263103485107422","21","21","21","-18.702592849731445","-18.702592849731445","-18.702592849731445","21","21","21","-20.051876068115234","-20.051876068115234","-20.051876068115234","21","21","21","-14.775018692016602","-14.775018692016602","-14.775018692016602","21","21","21","-18.50137710571289","-18.50137710571289","-18.50137710571289","21","21","21","-24.566709518432617","-24.566709518432617","-24.566709518432617","21","21","21","-17.437206268310547","-17.437206268310547","-17.437206268310547"
