"global_step","15 - _step","15 - _step__MIN","15 - _step__MAX","15 - charts/state_entropy","15 - charts/state_entropy__MIN","15 - charts/state_entropy__MAX","19 - _step","19 - _step__MIN","19 - _step__MAX","19 - charts/state_entropy","19 - charts/state_entropy__MIN","19 - charts/state_entropy__MAX","18 - _step","18 - _step__MIN","18 - _step__MAX","18 - charts/state_entropy","18 - charts/state_entropy__MIN","18 - charts/state_entropy__MAX","17 - _step","17 - _step__MIN","17 - _step__MAX","17 - charts/state_entropy","17 - charts/state_entropy__MIN","17 - charts/state_entropy__MAX","20 - _step","20 - _step__MIN","20 - _step__MAX","20 - charts/state_entropy","20 - charts/state_entropy__MIN","20 - charts/state_entropy__MAX","16 - _step","16 - _step__MIN","16 - _step__MAX","16 - charts/state_entropy","16 - charts/state_entropy__MIN","16 - charts/state_entropy__MAX","10 - _step","10 - _step__MIN","10 - _step__MAX","10 - charts/state_entropy","10 - charts/state_entropy__MIN","10 - charts/state_entropy__MAX","12 - _step","12 - _step__MIN","12 - _step__MAX","12 - charts/state_entropy","12 - charts/state_entropy__MIN","12 - charts/state_entropy__MAX","8 - _step","8 - _step__MIN","8 - _step__MAX","8 - charts/state_entropy","8 - charts/state_entropy__MIN","8 - charts/state_entropy__MAX","9 - _step","9 - _step__MIN","9 - _step__MAX","9 - charts/state_entropy","9 - charts/state_entropy__MIN","9 - charts/state_entropy__MAX"
"3200","1","1","1","0.0599542036652565","0.0599542036652565","0.0599542036652565","1","1","1","0.024556349962949753","0.024556349962949753","0.024556349962949753","1","1","1","0.0498959943652153","0.0498959943652153","0.0498959943652153","1","1","1","0.03237268328666687","0.03237268328666687","0.03237268328666687","1","1","1","0.042879704385995865","0.042879704385995865","0.042879704385995865","1","1","1","0.05536821484565735","0.05536821484565735","0.05536821484565735","1","1","1","0.04656517878174782","0.04656517878174782","0.04656517878174782","1","1","1","0.04665772616863251","0.04665772616863251","0.04665772616863251","1","1","1","0.02341209165751934","0.02341209165751934","0.02341209165751934","1","1","1","0.04937802255153656","0.04937802255153656","0.04937802255153656"
"6400","2","2","2","0.06627261638641357","0.06627261638641357","0.06627261638641357","2","2","2","0.02910437621176243","0.02910437621176243","0.02910437621176243","2","2","2","0.042114123702049255","0.042114123702049255","0.042114123702049255","2","2","2","0.026410864666104317","0.026410864666104317","0.026410864666104317","2","2","2","0.04643240198493004","0.04643240198493004","0.04643240198493004","2","2","2","0.04826020821928978","0.04826020821928978","0.04826020821928978","2","2","2","0.05804850906133652","0.05804850906133652","0.05804850906133652","2","2","2","0.05036897212266922","0.05036897212266922","0.05036897212266922","2","2","2","0.0217024777084589","0.0217024777084589","0.0217024777084589","2","2","2","0.04284677654504776","0.04284677654504776","0.04284677654504776"
"9600","3","3","3","0.06496545672416687","0.06496545672416687","0.06496545672416687","3","3","3","0.026339218020439148","0.026339218020439148","0.026339218020439148","3","3","3","0.04644906520843506","0.04644906520843506","0.04644906520843506","3","3","3","0.029629342257976532","0.029629342257976532","0.029629342257976532","3","3","3","0.054090727120637894","0.054090727120637894","0.054090727120637894","3","3","3","0.04726845398545265","0.04726845398545265","0.04726845398545265","3","3","3","0.056207768619060516","0.056207768619060516","0.056207768619060516","3","3","3","0.04495406150817871","0.04495406150817871","0.04495406150817871","3","3","3","0.0226562712341547","0.0226562712341547","0.0226562712341547","3","3","3","0.04458620026707649","0.04458620026707649","0.04458620026707649"
"12800","4","4","4","0.05551086366176605","0.05551086366176605","0.05551086366176605","4","4","4","0.029342669993638992","0.029342669993638992","0.029342669993638992","4","4","4","0.04400666058063507","0.04400666058063507","0.04400666058063507","4","4","4","0.03099782019853592","0.03099782019853592","0.03099782019853592","4","4","4","0.054398149251937866","0.054398149251937866","0.054398149251937866","4","4","4","0.04601861536502838","0.04601861536502838","0.04601861536502838","4","4","4","0.05182627588510513","0.05182627588510513","0.05182627588510513","4","4","4","0.053086571395397186","0.053086571395397186","0.053086571395397186","4","4","4","0.021845832467079163","0.021845832467079163","0.021845832467079163","4","4","4","0.0418737530708313","0.0418737530708313","0.0418737530708313"
"16000","5","5","5","0.05500254034996033","0.05500254034996033","0.05500254034996033","5","5","5","0.025680048391222954","0.025680048391222954","0.025680048391222954","5","5","5","0.04312049597501755","0.04312049597501755","0.04312049597501755","5","5","5","0.030144736170768738","0.030144736170768738","0.030144736170768738","5","5","5","0.051423702389001846","0.051423702389001846","0.051423702389001846","5","5","5","0.04509813338518143","0.04509813338518143","0.04509813338518143","5","5","5","0.04894585162401199","0.04894585162401199","0.04894585162401199","5","5","5","0.04990401491522789","0.04990401491522789","0.04990401491522789","5","5","5","0.022784138098359108","0.022784138098359108","0.022784138098359108","5","5","5","0.04766055941581726","0.04766055941581726","0.04766055941581726"
"19200","6","6","6","0.05618642270565033","0.05618642270565033","0.05618642270565033","6","6","6","0.029315505176782608","0.029315505176782608","0.029315505176782608","6","6","6","0.052176155149936676","0.052176155149936676","0.052176155149936676","6","6","6","0.03248564153909683","0.03248564153909683","0.03248564153909683","6","6","6","0.05649740993976593","0.05649740993976593","0.05649740993976593","6","6","6","0.046714261174201965","0.046714261174201965","0.046714261174201965","6","6","6","0.046126220375299454","0.046126220375299454","0.046126220375299454","6","6","6","0.0549633726477623","0.0549633726477623","0.0549633726477623","6","6","6","0.02474048174917698","0.02474048174917698","0.02474048174917698","6","6","6","0.047489065676927567","0.047489065676927567","0.047489065676927567"
"22400","7","7","7","0.06205892190337181","0.06205892190337181","0.06205892190337181","7","7","7","0.025539491325616837","0.025539491325616837","0.025539491325616837","7","7","7","0.05259765684604645","0.05259765684604645","0.05259765684604645","7","7","7","0.02955145202577114","0.02955145202577114","0.02955145202577114","7","7","7","0.05398794263601303","0.05398794263601303","0.05398794263601303","7","7","7","0.04611828923225403","0.04611828923225403","0.04611828923225403","7","7","7","0.04434625059366226","0.04434625059366226","0.04434625059366226","7","7","7","0.054007843136787415","0.054007843136787415","0.054007843136787415","7","7","7","0.025093864649534225","0.025093864649534225","0.025093864649534225","7","7","7","0.054033659398555756","0.054033659398555756","0.054033659398555756"
"25600","8","8","8","0.055991072207689285","0.055991072207689285","0.055991072207689285","8","8","8","0.02654813975095749","0.02654813975095749","0.02654813975095749","8","8","8","0.04695428907871246","0.04695428907871246","0.04695428907871246","8","8","8","0.02917073667049408","0.02917073667049408","0.02917073667049408","8","8","8","0.05290120095014572","0.05290120095014572","0.05290120095014572","8","8","8","0.051157012581825256","0.051157012581825256","0.051157012581825256","8","8","8","0.05600791424512863","0.05600791424512863","0.05600791424512863","8","8","8","0.050514016300439835","0.050514016300439835","0.050514016300439835","8","8","8","0.025548674166202545","0.025548674166202545","0.025548674166202545","8","8","8","0.0496559664607048","0.0496559664607048","0.0496559664607048"
"28800","9","9","9","0.05361677706241608","0.05361677706241608","0.05361677706241608","9","9","9","0.02431860752403736","0.02431860752403736","0.02431860752403736","9","9","9","0.043889716267585754","0.043889716267585754","0.043889716267585754","9","9","9","0.026101168245077133","0.026101168245077133","0.026101168245077133","9","9","9","0.051500193774700165","0.051500193774700165","0.051500193774700165","9","9","9","0.04806789010763168","0.04806789010763168","0.04806789010763168","9","9","9","0.051872238516807556","0.051872238516807556","0.051872238516807556","9","9","9","0.05254213139414787","0.05254213139414787","0.05254213139414787","9","9","9","0.024216502904891968","0.024216502904891968","0.024216502904891968","9","9","9","0.04950525611639023","0.04950525611639023","0.04950525611639023"
"32000","10","10","10","0.06335463374853134","0.06335463374853134","0.06335463374853134","10","10","10","0.02847379446029663","0.02847379446029663","0.02847379446029663","10","10","10","0.04354993626475334","0.04354993626475334","0.04354993626475334","10","10","10","0.029997842386364937","0.029997842386364937","0.029997842386364937","10","10","10","0.06350427865982056","0.06350427865982056","0.06350427865982056","10","10","10","0.05095987021923065","0.05095987021923065","0.05095987021923065","10","10","10","0.04461858794093132","0.04461858794093132","0.04461858794093132","10","10","10","0.054466329514980316","0.054466329514980316","0.054466329514980316","10","10","10","0.022065619006752968","0.022065619006752968","0.022065619006752968","10","10","10","0.051343053579330444","0.051343053579330444","0.051343053579330444"
