agent,seed,reward,distance,wall,success
beta:0.0_alpha:0.03,1,-38.36506462097168,-0.30815650820732116,True,0.0
beta:0.0_alpha:0.03,2,-58.380838012695314,-0.36329894363880155,True,0.0
beta:0.0_alpha:0.03,3,-43.490637588500974,-0.3583633631467819,True,0.1150000024586916
beta:0.0_alpha:0.03,4,-43.03544464111328,-0.3533233433961868,True,0.010000000149011612
beta:0.0_alpha:0.03,5,-39.35566520690918,-0.3188015103340149,True,0.0
beta:0.0_alpha:0.03,6,-41.41251220703125,-0.3484196126461029,True,0.02500000037252903
beta:0.0_alpha:0.03,7,-38.68653793334961,-0.3070466548204422,True,0.0
beta:0.0_alpha:0.03,8,-37.637939071655275,-0.30243477821350095,True,0.0
beta:0.0_alpha:0.03,9,-39.14004020690918,-0.31415857970714567,True,0.010000000149011612
beta:0.0_alpha:0.03,10,-37.854150390625,-0.30642161071300505,True,0.005000000074505806
beta:0.0_alpha:0.03,11,-37.85059356689453,-0.3082609593868256,True,0.0
beta:0.0_alpha:0.03,12,-42.6518970489502,-0.3386100113391876,True,0.04000000059604645
beta:0.0_alpha:0.03,13,-40.55512924194336,-0.32886919677257537,True,0.005000000074505806
beta:0.0_alpha:0.03,14,-41.252462005615236,-0.31863914132118226,True,0.0
beta:0.0_alpha:0.03,15,-35.977682495117186,-0.26400293260812757,True,0.06000000089406967
beta:0.0_alpha:0.03,16,-39.48135757446289,-0.28841722309589385,True,0.0
beta:0.0_alpha:0.03,17,-39.148538208007814,-0.30170120894908903,True,0.0
beta:0.0_alpha:0.03,18,-41.194959259033205,-0.31399656236171725,True,0.005000000074505806
beta:0.0_alpha:0.03,19,-38.4436840057373,-0.31065362989902495,True,0.005000000074505806
beta:0.0_alpha:0.03,20,-40.73056755065918,-0.3180798888206482,True,0.20500000491738318
beta:0.0_alpha:0.03,21,-37.77414474487305,-0.2935693472623825,True,0.0
beta:0.0_alpha:0.03,22,-40.28531074523926,-0.3142847180366516,True,0.02500000037252903
beta:0.0_alpha:0.03,23,-40.57190933227539,-0.33095020353794097,True,0.19500000402331352
beta:0.0_alpha:0.03,24,-51.492648696899415,-0.3395924538373947,True,0.010000000149011612
beta:0.0_alpha:0.03,25,-40.21585464477539,-0.31596716344356535,True,0.010000000149011612
beta:0.0_alpha:0.03,1,-9.579336738586425,-0.09519408345222473,False,0.925000011920929
beta:0.0_alpha:0.03,2,-57.873840713500975,-0.3556803584098816,False,0.0
beta:0.0_alpha:0.03,3,-13.882279014587402,-0.11483840197324753,False,0.8250000178813934
beta:0.0_alpha:0.03,4,-13.573555088043213,-0.10224337354302407,False,0.720000010728836
beta:0.0_alpha:0.03,5,-10.200775051116944,-0.09318805560469627,False,0.8800000131130219
beta:0.0_alpha:0.03,6,-10.688125705718994,-0.09743997678160668,False,0.870000010728836
beta:0.0_alpha:0.03,7,-11.43921594619751,-0.10395503640174866,False,0.8750000178813935
beta:0.0_alpha:0.03,8,-10.57646722793579,-0.09698039144277573,False,0.8900000154972076
beta:0.0_alpha:0.03,9,-11.406072330474853,-0.10262718051671982,False,0.850000011920929
beta:0.0_alpha:0.03,10,-9.936068534851074,-0.0960711769759655,False,0.9449999988079071
beta:0.0_alpha:0.03,11,-10.908167552947997,-0.09600010365247727,False,0.8750000178813935
beta:0.0_alpha:0.03,12,-8.711796426773072,-0.0986272320151329,False,0.9699999988079071
beta:0.0_alpha:0.03,13,-10.409475612640382,-0.09701378867030144,False,0.8900000214576721
beta:0.0_alpha:0.03,14,-10.22901964187622,-0.09858090803027153,False,0.9350000083446502
beta:0.0_alpha:0.03,15,-6.111575174331665,-0.08883289620280266,False,0.9900000035762787
beta:0.0_alpha:0.03,16,-11.129003715515136,-0.10221703574061394,False,0.9100000143051148
beta:0.0_alpha:0.03,17,-10.622111225128174,-0.10022769421339035,False,0.9300000131130218
beta:0.0_alpha:0.03,18,-10.026956176757812,-0.0947953701019287,False,0.9050000250339508
beta:0.0_alpha:0.03,19,-11.103406810760498,-0.09738311991095543,False,0.8550000190734863
beta:0.0_alpha:0.03,20,-9.691919422149658,-0.10141300633549691,False,0.9749999940395355
beta:0.0_alpha:0.03,21,-14.25681791305542,-0.10227700471878051,False,0.7850000143051148
beta:0.0_alpha:0.03,22,-11.998487663269042,-0.10747106373310089,False,0.8650000095367432
beta:0.0_alpha:0.03,23,-10.97645616531372,-0.09667088314890862,False,0.9399999976158142
beta:0.0_alpha:0.03,24,-46.2162540435791,-0.2645399495959282,False,0.1300000037997961
beta:0.0_alpha:0.03,25,-9.869253540039063,-0.0938621111214161,False,0.9199999988079071
