agent,seed,reward,distance,wall,success
beta:30.0_alpha:0.01_4_rollouts,1,-47.49385871887207,-0.296178063750267,True,0.0
beta:60.0_alpha:0.01_8_rollouts,1,-32.7587007522583,-0.21528853923082353,True,0.41000000536441805
beta:30.0_alpha:0.01_4_rollouts,2,-43.195641326904294,-0.32049782276153566,True,0.005000000074505806
beta:60.0_alpha:0.01_8_rollouts,2,-34.63254318237305,-0.2762385159730911,True,0.0
beta:30.0_alpha:0.01_4_rollouts,3,-41.6363639831543,-0.28936083018779757,True,0.0
beta:60.0_alpha:0.01_8_rollouts,3,-36.824267578125,-0.2761209324002266,True,0.02500000037252903
beta:30.0_alpha:0.01_4_rollouts,4,-36.669381332397464,-0.2825131118297577,True,0.0
beta:60.0_alpha:0.01_8_rollouts,4,-42.63933410644531,-0.27928211688995364,True,0.005000000074505806
beta:30.0_alpha:0.01_4_rollouts,5,-40.162837219238284,-0.2590096652507782,True,0.07500000111758709
beta:60.0_alpha:0.01_8_rollouts,5,-37.46173324584961,-0.2891709506511688,True,0.0
beta:30.0_alpha:0.01_4_rollouts,1,-8.123972988128662,-0.09045003056526184,False,1.0
beta:60.0_alpha:0.01_8_rollouts,1,-8.57059998512268,-0.10145115479826927,False,0.9749999940395355
beta:30.0_alpha:0.01_4_rollouts,2,-10.5529390335083,-0.10881241038441658,False,0.9400000035762787
beta:60.0_alpha:0.01_8_rollouts,2,-9.208535480499268,-0.1018726572394371,False,0.9150000154972077
beta:30.0_alpha:0.01_4_rollouts,3,-8.289756393432617,-0.09467848092317581,False,0.9949999988079071
beta:60.0_alpha:0.01_8_rollouts,3,-9.990415239334107,-0.10832647606730461,False,0.9150000154972077
beta:30.0_alpha:0.01_4_rollouts,4,-10.078326892852782,-0.0983017399907112,False,0.9100000083446502
beta:60.0_alpha:0.01_8_rollouts,4,-8.83811321258545,-0.09373670816421509,False,1.0
beta:30.0_alpha:0.01_4_rollouts,5,-8.47712574005127,-0.09368903189897537,False,1.0
beta:60.0_alpha:0.01_8_rollouts,5,-8.372932815551758,-0.09124011993408203,False,0.9949999988079071
beta:160.0_alpha:0.01_32_rollouts,1,-30.20745258331299,-0.18046026974916457,True,0.4300000086426735
beta:160.0_alpha:0.01_32_rollouts,2,-16.659096240997314,-0.10153912380337715,True,0.9700000047683716
beta:160.0_alpha:0.01_32_rollouts,3,-43.31990776062012,-0.45029994249343874,True,0.015000000223517418
beta:160.0_alpha:0.01_32_rollouts,4,-44.58134841918945,-0.2835614621639252,True,0.005000000074505806
beta:160.0_alpha:0.01_32_rollouts,5,-20.34549732208252,-0.13804940953850747,True,0.8550000190734863
beta:160.0_alpha:0.01_32_rollouts,6,-31.26189022064209,-0.2351093664765358,True,0.3200000051409006
beta:160.0_alpha:0.01_32_rollouts,7,-35.04464836120606,-0.2379275307059288,True,0.2550000034272671
beta:160.0_alpha:0.01_32_rollouts,8,-43.71429595947266,-0.28565015494823454,True,0.0
beta:160.0_alpha:0.01_32_rollouts,9,-32.948086166381835,-0.20280100405216217,True,0.26500000432133675
beta:160.0_alpha:0.01_32_rollouts,10,-35.68575801849365,-0.23982371240854264,True,0.5500000089406967
beta:160.0_alpha:0.01_32_rollouts,11,-25.655644416809082,-0.14793638959527017,True,0.800000011920929
beta:160.0_alpha:0.01_32_rollouts,12,-25.838863945007326,-0.1564723402261734,True,0.5300000101327896
beta:160.0_alpha:0.01_32_rollouts,13,-35.85428085327148,-0.23601790517568588,True,0.23500000387430192
beta:160.0_alpha:0.01_32_rollouts,14,-38.012246704101564,-0.31643953621387483,True,0.04500000067055225
beta:160.0_alpha:0.01_32_rollouts,15,-39.445307922363284,-0.31837042719125747,True,0.4300000101327896
beta:160.0_alpha:0.01_32_rollouts,16,-34.55684337615967,-0.24537054747343062,True,0.5200000107288361
beta:160.0_alpha:0.01_32_rollouts,17,-36.98445816040039,-0.2502290889620781,True,0.19000000171363354
beta:160.0_alpha:0.01_32_rollouts,18,-23.688334655761718,-0.13980631977319719,True,0.8150000154972077
beta:160.0_alpha:0.01_32_rollouts,19,-46.246355056762695,-0.2985038965940475,True,0.0
beta:160.0_alpha:0.01_32_rollouts,20,-47.965196990966795,-0.43267457485198973,True,0.020000000298023225
beta:160.0_alpha:0.01_32_rollouts,1,-12.958656311035156,-0.11162077188491822,False,0.925000011920929
beta:160.0_alpha:0.01_32_rollouts,2,-10.495276641845702,-0.09894615560770034,False,0.9850000023841858
beta:160.0_alpha:0.01_32_rollouts,3,-10.240939044952393,-0.11026003882288933,False,0.9350000143051147
beta:160.0_alpha:0.01_32_rollouts,4,-10.853691387176514,-0.09921490401029587,False,0.9200000166893005
beta:160.0_alpha:0.01_32_rollouts,5,-11.502912521362305,-0.1040686123073101,False,0.975
beta:160.0_alpha:0.01_32_rollouts,6,-8.710830402374267,-0.09690408408641815,False,0.9949999988079071
beta:160.0_alpha:0.01_32_rollouts,7,-11.815966129302979,-0.11045875027775764,False,0.9300000131130218
beta:160.0_alpha:0.01_32_rollouts,8,-10.33721399307251,-0.09880616813898087,False,0.9350000023841858
beta:160.0_alpha:0.01_32_rollouts,9,-11.924539756774902,-0.11611857414245605,False,0.9200000166893005
